step,handy-end,set,handy-mid,ratio
500000,4.70E-03,8.70E-04,9.60E-04,4.895833333
700000,2.16E-03,3.93E-04,4.57E-04,4.726477024
900000,1.06E-03,1.93E-04,2.28E-04,4.627192982
1100000,6.15E-04,1.25E-04,1.36E-04,4.522058824
1400000,3.10E-04,5.50E-05,8.20E-05,3.780487805
500000,4.72E-03,8.77E-04,9.76E-04,4.836065574
700000,2.19E-03,4.02E-04,4.56E-04,4.802631579
900000,1.06E-03,1.91E-04,2.26E-04,4.690265487
1100000,6.14E-04,1.00E-04,1.37E-04,4.481751825
1400000,3.10E-04,5.30E-05,8.02E-05,3.865336658
500000,4.72E-03,8.77E-04,9.76E-04,4.836065574
700000,2.19E-03,4.02E-04,4.56E-04,4.802631579
900000,1.06E-03,1.91E-04,2.26E-04,4.690265487
1100000,6.14E-04,1.00E-04,1.37E-04,4.481751825
1400000,3.10E-04,5.30E-05,8.02E-05,3.865336658
